story,frame,category,slots,links,open_before,resolved,surprisal,cost_item_z,cost_surprisal_z,cost_integration_z
An evening in,1,E,2,1,0.0,0.0,2.322,-1.241,0.069,-0.534
An evening in,2,E,2,1,1.0,0.0,2.737,-1.241,0.369,-0.534
An evening in,3,I,3,2,2.0,0.0,0.737,-0.11,-1.075,-0.534
An evening in,4,L,3,1,4.0,0.0,0.862,-0.11,-0.984,-0.534
An evening in,5,L,4,1,5.0,0.0,1.322,1.021,-0.653,-0.534
An evening in,6,L,4,1,6.0,0.0,1.322,1.021,-0.653,-0.534
An evening in,7,P,5,0,7.0,-0.0,1.152,2.151,-0.775,-0.534
An evening in,8,L,4,1,7.0,0.0,3.644,1.021,1.023,-0.534
An evening in,9,L,3,1,8.0,0.0,1.322,-0.11,-0.653,-0.534
An evening in,10,R,3,-2,9.0,2.0,5.059,-0.11,2.044,2.543
An evening in,11,I,3,2,7.0,0.0,2.0,-0.11,-0.163,-0.534
An evening in,12,L,4,1,9.0,0.0,0.862,1.021,-0.984,-0.534
An evening in,13,L,4,1,10.0,0.0,1.322,1.021,-0.653,-0.534
An evening in,14,P,5,0,11.0,-0.0,1.152,2.151,-0.775,-0.534
An evening in,15,L,3,1,11.0,0.0,3.644,-0.11,1.023,-0.534
An evening in,16,R,3,-2,12.0,2.0,5.059,-0.11,2.044,3.382
An evening in,17,R,2,-1,10.0,1.0,2.0,-1.241,-0.163,1.144
An evening in,18,R,2,-1,9.0,1.0,2.0,-1.241,-0.163,1.004
Growing a plant,1,E,2,1,0.0,0.0,2.322,-1.241,0.069,-0.534
Growing a plant,2,I,3,2,1.0,0.0,0.737,-0.11,-1.075,-0.534
Growing a plant,3,L,3,1,3.0,0.0,0.862,-0.11,-0.984,-0.534
Growing a plant,4,L,3,1,4.0,0.0,1.322,-0.11,-0.653,-0.534
Growing a plant,5,L,3,1,5.0,0.0,1.322,-0.11,-0.653,-0.534
Growing a plant,6,P,4,0,6.0,-0.0,1.152,1.021,-0.775,-0.534
Growing a plant,7,L,3,1,6.0,0.0,3.644,-0.11,1.023,-0.534
Growing a plant,8,L,3,1,7.0,0.0,1.322,-0.11,-0.653,-0.534
Growing a plant,9,R,3,-2,8.0,2.0,5.059,-0.11,2.044,2.263
Growing a plant,10,L,3,1,6.0,0.0,2.737,-0.11,0.369,-0.534
Growing a plant,11,L,4,1,7.0,0.0,1.322,1.021,-0.653,-0.534
Growing a plant,12,P,5,0,8.0,-0.0,1.152,2.151,-0.775,-0.534
Growing a plant,13,L,3,1,8.0,0.0,3.644,-0.11,1.023,-0.534
Growing a plant,14,R,3,-1,9.0,1.0,5.059,-0.11,2.044,1.004
Growing a plant,15,R,2,-1,8.0,1.0,2.0,-1.241,-0.163,0.864
Growing a plant,16,R,2,-1,7.0,1.0,2.0,-1.241,-0.163,0.725
Growing a plant,17,E,2,1,6.0,0.0,1.737,-1.241,-0.353,-0.534
Growing a plant,18,R,2,-1,7.0,1.0,5.644,-1.241,2.467,0.725
Posting a letter,1,E,2,1,0.0,0.0,2.322,-1.241,0.069,-0.534
Posting a letter,2,I,3,2,1.0,0.0,0.737,-0.11,-1.075,-0.534
Posting a letter,3,I,3,1,3.0,0.0,2.737,-0.11,0.369,-0.534
Posting a letter,4,L,3,1,4.0,0.0,0.862,-0.11,-0.984,-0.534
Posting a letter,5,L,4,1,5.0,0.0,1.322,1.021,-0.653,-0.534
Posting a letter,6,P,5,0,6.0,-0.0,1.152,2.151,-0.775,-0.534
Posting a letter,7,R,3,-2,6.0,2.0,0.515,-0.11,-1.235,1.704
Posting a letter,8,L,3,1,4.0,0.0,2.737,-0.11,0.369,-0.534
Posting a letter,9,I,3,2,5.0,0.0,3.322,-0.11,0.791,-0.534
Posting a letter,10,L,4,1,7.0,0.0,0.862,1.021,-0.984,-0.534
Posting a letter,11,P,5,0,8.0,-0.0,1.152,2.151,-0.775,-0.534
Posting a letter,12,L,3,1,8.0,0.0,3.644,-0.11,1.023,-0.534
Posting a letter,13,L,3,1,9.0,0.0,1.322,-0.11,-0.653,-0.534
Posting a letter,14,R,3,-2,10.0,2.0,5.059,-0.11,2.044,2.823
Posting a letter,15,R,2,-1,8.0,1.0,2.0,-1.241,-0.163,0.864
Posting a letter,16,L,3,1,7.0,0.0,2.737,-0.11,0.369,-0.534
Posting a letter,17,R,2,-1,8.0,1.0,5.059,-1.241,2.044,0.864
Posting a letter,18,R,2,-1,7.0,1.0,2.0,-1.241,-0.163,0.725
Getting to school,1,E,2,1,0.0,0.0,2.322,-1.241,0.069,-0.534
Getting to school,2,E,2,1,1.0,0.0,2.737,-1.241,0.369,-0.534
Getting to school,3,I,3,2,2.0,0.0,0.737,-0.11,-1.075,-0.534
Getting to school,4,L,3,1,4.0,0.0,0.862,-0.11,-0.984,-0.534
Getting to school,5,P,5,0,5.0,-0.0,1.152,2.151,-0.775,-0.534
Getting to school,6,L,3,1,5.0,0.0,3.644,-0.11,1.023,-0.534
Getting to school,7,L,3,1,6.0,0.0,1.322,-0.11,-0.653,-0.534
Getting to school,8,R,3,-2,7.0,2.0,5.059,-0.11,2.044,1.983
Getting to school,9,I,3,2,5.0,0.0,2.0,-0.11,-0.163,-0.534
Getting to school,10,L,4,1,7.0,0.0,0.862,1.021,-0.984,-0.534
Getting to school,11,L,4,1,8.0,0.0,1.322,1.021,-0.653,-0.534
Getting to school,12,L,3,1,9.0,0.0,1.322,-0.11,-0.653,-0.534
Getting to school,13,P,5,0,10.0,-0.0,1.152,2.151,-0.775,-0.534
Getting to school,14,L,3,1,10.0,0.0,3.644,-0.11,1.023,-0.534
Getting to school,15,R,3,-2,11.0,2.0,5.059,-0.11,2.044,3.102
Getting to school,16,R,2,-1,9.0,1.0,2.0,-1.241,-0.163,1.004
Getting to school,17,R,2,-1,8.0,1.0,2.0,-1.241,-0.163,0.864
Getting to school,18,R,2,-1,7.0,1.0,2.0,-1.241,-0.163,0.725
